"Story","Title","Result","Date","Stability","Duration (s)"
"As a user","1 - Verify Transaction Fee API call with different types of VISA cards with Paysafe7861 processor","SUCCESS","2019-02-19T11:33:20.239-07:00[America/Phoenix]","0.0","49.21"
"As a user","2 - Verify Transaction Fee API call with different types of VISA cards with Paysafe9909 processor","SUCCESS","2019-02-19T11:34:13.01-07:00[America/Phoenix]","0.0","26.42"
"As a user","3 - Verify Transaction Fee API call with different types of VISA cards with Titanium4994 processor","SUCCESS","2019-02-19T11:34:39.554-07:00[America/Phoenix]","0.0","48.22"
"As a user","4 - Verify Transaction Fee API call with different types of MASTERCARD with PAYSAFE7861 processor","SUCCESS","2019-02-19T11:35:27.915-07:00[America/Phoenix]","0.0","9.03"
"As a user","5 - Verify Transaction Fee API call with different types of MASTERCARD with PAYSAFE9909 processor","SUCCESS","2019-02-19T11:35:37.045-07:00[America/Phoenix]","0.0","30.74"
"As a user","6 - Verify Transaction Fee API call with different types of MASTERCARD with Titanium4994 processor","SUCCESS","2019-02-19T11:36:07.944-07:00[America/Phoenix]","0.0","11.43"
"As a user","7 - Verify Transaction Fee API call with different types of DISCOVER with PAYSAFE7861 processor","SUCCESS","2019-02-19T11:36:19.491-07:00[America/Phoenix]","0.0","9.52"
"As a user","8 - Verify Transaction Fee API call with different types of DISCOVER with PAYSAFE9909 processor","SUCCESS","2019-02-19T11:36:29.138-07:00[America/Phoenix]","0.0","2.27"
"As a user","9 - Verify Transaction Fee API call with different types of DISCOVER with Titanium4994 processor","SUCCESS","2019-02-19T11:36:31.51-07:00[America/Phoenix]","0.0","8.05"
"As a user","10 - Verify Transaction Fee API call with different types of AMEX with PAYSAFE7861 processor","SUCCESS","2019-02-19T11:36:39.713-07:00[America/Phoenix]","0.0","2.19"
"As a user","11 - Verify Transaction Fee API call with different types of AMEX with PAYSAFE9909 processor","SUCCESS","2019-02-19T11:36:41.991-07:00[America/Phoenix]","0.0","0.79"
"As a user","12 - Verify Transaction Fee API call with different types of AMEX with Titanium4994 processor","SUCCESS","2019-02-19T11:36:42.885-07:00[America/Phoenix]","0.0","0.71"
